Chapter,Title,Completed,Future
1,A meta analysis of physical allocation in Cactaceae reproductive structures,"Frist, second, and third rounds of qualitative and quantitative data extracted, maps of studies created, and primary numeric values obtained.","Expansion of dataset, data analysis, and writing in progress. Chapter 1 to be completely drafted by September 2020. "
2,Linking Avian double mutualistic interactions to successful Cactaceae seed dispersal and facilitation,"Preliminary data collected and analyzed, protocols written, datasheets prepped, equipment gathered, and field preparations made.","Flowering field season from April 25th-May 25th, fruiting field season August 1st-30th, data analyzed by late Fall 2020, and writing/presentation/communication in Spring 2020. "
